FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
0,Nation,United States,Ages 11_13,Female,1995,Number,"5,605,225"
0,Nation,United States,Ages 11_13,Female,1996,Number,"5,651,622"
0,Nation,United States,Ages 11_13,Female,1997,Number,"5,708,000"
0,Nation,United States,Ages 11_13,Female,1998,Number,"5,809,132"
0,Nation,United States,Ages 11_13,Female,1999,Number,"5,879,182"
0,Nation,United States,Ages 11_13,Female,2000,Number,"5,986,139"
0,Nation,United States,Ages 11_13,Female,2001,Number,"6,164,582"
0,Nation,United States,Ages 11_13,Female,2002,Number,"6,283,723"
0,Nation,United States,Ages 11_13,Female,2003,Number,"6,336,979"
0,Nation,United States,Ages 11_13,Female,2004,Number,"6,270,427"
0,Nation,United States,Ages 11_13,Female,2005,Number,"6,201,243"
0,Nation,United States,Ages 11_13,Female,2006,Number,"6,146,973"
0,Nation,United States,Ages 11_13,Female,2007,Number,"6,102,853"
0,Nation,United States,Ages 11_13,Female,2008,Number,"6,062,657"
0,Nation,United States,Ages 11_13,Female,2009,Number,"6,029,534"
0,Nation,United States,Ages 11_13,Female,2010,Number,"6,035,037"
0,Nation,United States,Ages 11_13,Female,2011,Number,"6,082,477"
0,Nation,United States,Ages 11_13,Female,2012,Number,"6,108,289"
0,Nation,United States,Ages 11_13,Female,2013,Number,"6,085,366"
0,Nation,United States,Ages 11_13,Female,2014,Number,"6,037,704"
0,Nation,United States,Ages 11_13,Female,2015,Number,"6,031,542"
0,Nation,United States,Ages 11_13,Female,2016,Number,"6,068,658"
0,Nation,United States,Ages 11_13,Female,2017,Number,"6,100,292"
0,Nation,United States,Ages 11_13,Female,2018,Number,"6,132,590"
0,Nation,United States,Ages 11_13,Female,2019,Number,"6,158,796"
0,Nation,United States,Ages 11_13,Female,2020,Number,"6,116,625"
0,Nation,United States,Ages 11_13,Female,2021,Number,"6,047,634"
0,Nation,United States,Ages 11_13,Male,1995,Number,"5,881,256"
0,Nation,United States,Ages 11_13,Male,1996,Number,"5,931,603"
0,Nation,United States,Ages 11_13,Male,1997,Number,"5,992,912"
0,Nation,United States,Ages 11_13,Male,1998,Number,"6,099,627"
0,Nation,United States,Ages 11_13,Male,1999,Number,"6,172,988"
0,Nation,United States,Ages 11_13,Male,2000,Number,"6,285,164"
0,Nation,United States,Ages 11_13,Male,2001,Number,"6,477,477"
0,Nation,United States,Ages 11_13,Male,2002,Number,"6,601,373"
0,Nation,United States,Ages 11_13,Male,2003,Number,"6,651,448"
0,Nation,United States,Ages 11_13,Male,2004,Number,"6,581,043"
0,Nation,United States,Ages 11_13,Male,2005,Number,"6,507,998"
0,Nation,United States,Ages 11_13,Male,2006,Number,"6,456,610"
0,Nation,United States,Ages 11_13,Male,2007,Number,"6,402,967"
0,Nation,United States,Ages 11_13,Male,2008,Number,"6,352,224"
0,Nation,United States,Ages 11_13,Male,2009,Number,"6,312,060"
0,Nation,United States,Ages 11_13,Male,2010,Number,"6,313,383"
0,Nation,United States,Ages 11_13,Male,2011,Number,"6,365,532"
0,Nation,United States,Ages 11_13,Male,2012,Number,"6,383,687"
0,Nation,United States,Ages 11_13,Male,2013,Number,"6,348,654"
0,Nation,United States,Ages 11_13,Male,2014,Number,"6,286,899"
0,Nation,United States,Ages 11_13,Male,2015,Number,"6,278,024"
0,Nation,United States,Ages 11_13,Male,2016,Number,"6,321,001"
0,Nation,United States,Ages 11_13,Male,2017,Number,"6,362,069"
0,Nation,United States,Ages 11_13,Male,2018,Number,"6,401,375"
0,Nation,United States,Ages 11_13,Male,2019,Number,"6,427,513"
0,Nation,United States,Ages 11_13,Male,2020,Number,"6,377,267"
0,Nation,United States,Ages 11_13,Male,2021,Number,"6,301,304"
0,Nation,United States,Ages 11_13,Total,1995,Number,"11,486,481"
0,Nation,United States,Ages 11_13,Total,1996,Number,"11,583,225"
0,Nation,United States,Ages 11_13,Total,1997,Number,"11,700,912"
0,Nation,United States,Ages 11_13,Total,1998,Number,"11,908,759"
0,Nation,United States,Ages 11_13,Total,1999,Number,"12,052,170"
0,Nation,United States,Ages 11_13,Total,2000,Number,"12,271,303"
0,Nation,United States,Ages 11_13,Total,2001,Number,"12,642,059"
0,Nation,United States,Ages 11_13,Total,2002,Number,"12,885,096"
0,Nation,United States,Ages 11_13,Total,2003,Number,"12,988,427"
0,Nation,United States,Ages 11_13,Total,2004,Number,"12,851,470"
0,Nation,United States,Ages 11_13,Total,2005,Number,"12,709,241"
0,Nation,United States,Ages 11_13,Total,2006,Number,"12,603,583"
0,Nation,United States,Ages 11_13,Total,2007,Number,"12,505,820"
0,Nation,United States,Ages 11_13,Total,2008,Number,"12,414,881"
0,Nation,United States,Ages 11_13,Total,2009,Number,"12,341,594"
0,Nation,United States,Ages 11_13,Total,2010,Number,"12,348,420"
0,Nation,United States,Ages 11_13,Total,2011,Number,"12,448,009"
0,Nation,United States,Ages 11_13,Total,2012,Number,"12,491,976"
0,Nation,United States,Ages 11_13,Total,2013,Number,"12,434,020"
0,Nation,United States,Ages 11_13,Total,2014,Number,"12,324,603"
0,Nation,United States,Ages 11_13,Total,2015,Number,"12,309,566"
0,Nation,United States,Ages 11_13,Total,2016,Number,"12,389,659"
0,Nation,United States,Ages 11_13,Total,2017,Number,"12,462,361"
0,Nation,United States,Ages 11_13,Total,2018,Number,"12,533,965"
0,Nation,United States,Ages 11_13,Total,2019,Number,"12,586,309"
0,Nation,United States,Ages 11_13,Total,2020,Number,"12,493,892"
0,Nation,United States,Ages 11_13,Total,2021,Number,"12,348,938"
0,Nation,United States,Ages 14_17,Female,1995,Number,"7,284,381"
0,Nation,United States,Ages 14_17,Female,1996,Number,"7,492,662"
0,Nation,United States,Ages 14_17,Female,1997,Number,"7,651,690"
0,Nation,United States,Ages 14_17,Female,1998,Number,"7,680,799"
0,Nation,United States,Ages 14_17,Female,1999,Number,"7,767,615"
0,Nation,United States,Ages 14_17,Female,2000,Number,"7,834,075"
0,Nation,United States,Ages 14_17,Female,2001,Number,"7,907,501"
0,Nation,United States,Ages 14_17,Female,2002,Number,"8,022,861"
0,Nation,United States,Ages 14_17,Female,2003,Number,"8,118,726"
0,Nation,United States,Ages 14_17,Female,2004,Number,"8,293,638"
0,Nation,United States,Ages 14_17,Female,2005,Number,"8,441,183"
0,Nation,United States,Ages 14_17,Female,2006,Number,"8,536,682"
